Start,Distance (mi),Steps (count)
1-Jan-21,0.6715220612,1838
2-Jan-21,1.081148592,3040
3-Jan-21,0.3771039629,989
4-Jan-21,0.4454094543,1182
5-Jan-21,0.4945244771,1284
6-Jan-21,0.6545399865,1665
7-Jan-21,1.338960763,3344
8-Jan-21,0.6120168457,1560
9-Jan-21,0.5405456723,1322
10-Jan-21,0.2188282928,555
11-Jan-21,0.2412535791,630
12-Jan-21,0.4766973375,1232
13-Jan-21,0.7547179928,2068
14-Jan-21,0.5981691919,1649
15-Jan-21,1.93298636,4880
16-Jan-21,0.3142319259,829
17-Jan-21,0.6438006407,1842
18-Jan-21,0.7791830928,2026
19-Jan-21,0.1095415275,288
20-Jan-21,0.5178569653,1313
21-Jan-21,0.669713871,1672
22-Jan-21,0.7083589614,1910
23-Jan-21,0.6865114373,1787
24-Jan-21,1.687255916,4379
25-Jan-21,1.02109928,2885
26-Jan-21,0.4668175356,1205
27-Jan-21,0.6518236947,1735
28-Jan-21,0.4198094114,1091
29-Jan-21,0.490038177,1259
30-Jan-21,0.437905134,1137
31-Jan-21,0.3101636443,793
1-Feb-21,0.9742257379,2638
2-Feb-21,0.4640462201,1162
3-Feb-21,0.3709648155,979
4-Feb-21,0.5063691883,1351
5-Feb-21,0.5693839731,1452
6-Feb-21,0.4204259624,1109
7-Feb-21,0.4248252704,1113
8-Feb-21,0.5311045991,1345
9-Feb-21,0.8432024318,2148
10-Feb-21,0.8788821363,2201
11-Feb-21,0.7295661876,1920
12-Feb-21,0.7014498703,1803
13-Feb-21,0.6889795159,1827
14-Feb-21,0.7657724636,1918
15-Feb-21,3.641893197,9857
16-Feb-21,2.744031108,7462
17-Feb-21,1.608655452,4193
18-Feb-21,2.195894725,5624
19-Feb-21,1.647041725,4186
20-Feb-21,2.48593837,6281
21-Feb-21,2.15931486,5075
22-Feb-21,0.9883157361,2321
23-Feb-21,0.8671310357,2078
24-Feb-21,0.3407413207,878
25-Feb-21,0.8251188062,2220
26-Feb-21,0.3481915613,959
27-Feb-21,0.6148902907,1719
28-Feb-21,0.449661477,1239
1-Mar-21,0.4667553985,1284
2-Mar-21,0.5950257598,1533
3-Mar-21,0.4135458247,1117
4-Mar-21,1.592912641,3670
5-Mar-21,1.11269659,2461.627418
6-Mar-21,1.203076104,2637
7-Mar-21,0.3427545634,871
8-Mar-21,2.286406845,4935
9-Mar-21,1.584571831,3557.987627
10-Mar-21,0.9779432046,2233.193374
11-Mar-21,2.987643336,6379
12-Mar-21,3.987226295,8551
13-Mar-21,2.066652197,4477
14-Mar-21,5.278522246,10908.26643
15-Mar-21,7.994807014,16666.73357
16-Mar-21,2.25666961,4993.957438
17-Mar-21,2.803082315,6866.488135
18-Mar-21,3.528381705,8146
19-Mar-21,3.513866386,7949
20-Mar-21,1.777694008,4876
21-Mar-21,1.41092663,3098
22-Mar-21,1.85818895,4246.100169
23-Mar-21,2.311888728,4937
24-Mar-21,1.447819754,3250.042733
25-Mar-21,1.648795293,3676.380265
26-Mar-21,1.191727955,2846.644654
27-Mar-21,1.824675364,4050.288554
28-Mar-21,3.076492155,6760.04034
29-Mar-21,1.362716342,3266.159031
30-Mar-21,1.756454454,4011
31-Mar-21,1.571544205,3506.335326